Year,m,d,Time,Time zone,Direction of waves (deg),Wave height (m)
2019,4,22,01:30,UTC,213,0.1
2019,4,22,02:00,UTC,150,0.1
2019,4,22,02:30,UTC,127,0.1
2019,4,22,03:00,UTC,133,0.1
2019,4,22,03:30,UTC,123,0.1
2019,4,22,04:00,UTC,169,0.1
2019,4,22,04:30,UTC,183,0.1
2019,4,22,05:00,UTC,127,0.1
2019,4,22,05:30,UTC,165,0.1
2019,4,22,06:00,UTC,162,0.1
2019,4,22,06:30,UTC,164,0.2
2019,4,22,07:00,UTC,207,0.2
2019,4,22,07:30,UTC,181,0.1
2019,4,22,08:00,UTC,203,0.2
2019,4,22,08:30,UTC,212,0.2
2019,4,22,09:00,UTC,207,0.2
2019,4,22,09:30,UTC,207,0.2
2019,4,22,10:00,UTC,207,0.2
2019,4,22,10:30,UTC,207,0.2
2019,4,22,11:00,UTC,202,0.3
2019,4,22,11:30,UTC,210,0.2
2019,4,22,12:00,UTC,213,0.2
2019,4,22,12:30,UTC,214,0.2
2019,4,22,13:00,UTC,193,0.3
2019,4,22,13:30,UTC,197,0.3
2019,4,22,14:00,UTC,203,0.3
2019,4,22,14:30,UTC,203,0.3
2019,4,22,15:00,UTC,206,0.3
2019,4,22,15:30,UTC,205,0.3
2019,4,22,16:00,UTC,197,0.2
2019,4,22,16:30,UTC,186,0.2
2019,4,22,17:00,UTC,202,0.2
2019,4,22,17:30,UTC,199,0.2
2019,4,22,18:00,UTC,165,0.2
2019,4,22,18:30,UTC,197,0.1
2019,4,22,19:00,UTC,210,0.1
2019,4,22,19:30,UTC,199,0.1
2019,4,22,20:00,UTC,134,0.1
2019,4,22,20:30,UTC,183,0.1
2019,4,22,21:00,UTC,174,0.1
2019,4,22,21:30,UTC,174,0.2
2019,4,22,22:00,UTC,168,0.1
2019,4,22,22:30,UTC,46,0.1
2019,4,22,23:00,UTC,199,0.1
2019,4,22,23:30,UTC,193,0.1
2019,4,23,00:00,UTC,197,0.1
2019,4,23,00:30,UTC,213,0.1
2019,4,23,01:00,UTC,199,0.1
2019,4,23,01:30,UTC,188,0.1
2019,4,23,02:00,UTC,193,0.1
2019,4,23,02:30,UTC,190,0.1
2019,4,23,03:00,UTC,189,0.1
2019,4,23,03:30,UTC,205,0.1
2019,4,23,04:00,UTC,209,0.1
2019,4,23,04:30,UTC,199,0.1
2019,4,23,05:00,UTC,154,0.1
2019,4,23,05:30,UTC,150,0.1
2019,4,23,06:00,UTC,105,0.1
2019,4,23,06:30,UTC,181,0.1
2019,4,23,07:00,UTC,206,0.1
2019,4,23,07:30,UTC,161,0.1
2019,4,23,08:00,UTC,81,0.1
2019,4,23,08:30,UTC,213,0.1
2019,4,23,09:00,UTC,212,0.2
2019,4,23,09:30,UTC,202,0.2
2019,4,23,10:00,UTC,206,0.2
2019,4,23,10:30,UTC,207,0.2
2019,4,23,11:00,UTC,214,0.2
2019,4,23,11:30,UTC,210,0.2
2019,4,23,12:00,UTC,212,0.2
2019,4,23,12:30,UTC,209,0.2
2019,4,23,13:00,UTC,207,0.2
2019,4,23,13:30,UTC,214,0.2
2019,4,23,14:00,UTC,213,0.1
2019,4,23,14:30,UTC,192,0.2
2019,4,23,15:00,UTC,207,0.1
2019,4,23,15:30,UTC,183,0.1
2019,4,23,16:00,UTC,185,0.1
2019,4,23,16:30,UTC,202,0.1
2019,4,23,17:00,UTC,210,0.1
2019,4,23,17:30,UTC,72,0.1
2019,4,23,18:00,UTC,188,0.1
2019,4,23,18:30,UTC,186,0.1
2019,4,23,19:00,UTC,209,0.1
2019,4,23,19:30,UTC,195,0.1
2019,4,23,20:00,UTC,195,0.1
2019,4,23,20:30,UTC,199,0.1
2019,4,23,21:00,UTC,203,0.1
2019,4,23,21:30,UTC,196,0.1
2019,4,23,22:00,UTC,199,0.1
2019,4,23,22:30,UTC,186,0.1
2019,4,23,23:00,UTC,181,0.1
2019,4,23,23:30,UTC,147,0.1
2019,4,24,00:00,UTC,70,0.1
2019,4,24,00:30,UTC,190,0
2019,4,24,01:00,UTC,192,0
2019,4,24,01:30,UTC,214,0.1
2019,4,24,02:00,UTC,196,0
2019,4,24,02:30,UTC,58,0.1
2019,4,24,03:00,UTC,51,0.1
2019,4,24,03:30,UTC,138,0.1
2019,4,24,04:00,UTC,107,0.1
2019,4,24,04:30,UTC,172,0.1
2019,4,24,05:00,UTC,172,0.1
2019,4,24,05:30,UTC,140,0.1
2019,4,24,06:00,UTC,165,0.1
2019,4,24,06:30,UTC,168,0.2
2019,4,24,07:00,UTC,183,0.1
2019,4,24,07:30,UTC,74,0.1
2019,4,24,08:00,UTC,226,0.1
2019,4,24,08:30,UTC,150,0
2019,4,24,09:00,UTC,95,0
2019,4,24,09:30,UTC,174,0.1
2019,4,24,10:00,UTC,169,0.1
2019,4,24,10:30,UTC,89,0.1
2019,4,24,11:00,UTC,171,0.1
2019,4,24,11:30,UTC,195,0.1
2019,4,24,12:00,UTC,182,0.1
2019,4,24,12:30,UTC,179,0.1
2019,4,24,13:00,UTC,189,0.1
2019,4,24,13:30,UTC,78,0.1
2019,4,24,14:00,UTC,181,0.1
2019,4,24,14:30,UTC,193,0.1
2019,4,24,15:00,UTC,192,0.1
2019,4,24,15:30,UTC,192,0.1
2019,4,24,16:00,UTC,158,0.1
2019,4,24,16:30,UTC,182,0.1
2019,4,24,17:00,UTC,185,0.1
2019,4,24,17:30,UTC,196,0.1
2019,4,24,18:00,UTC,150,0.1
2019,4,24,18:30,UTC,55,0.1
2019,4,24,19:00,UTC,147,0.1
2019,4,24,19:30,UTC,154,0.1
2019,4,24,20:00,UTC,168,0.1
2019,4,24,20:30,UTC,161,0.1
2019,4,24,21:00,UTC,169,0.1
2019,4,24,21:30,UTC,175,0.1
2019,4,24,22:00,UTC,160,0.1
2019,4,24,22:30,UTC,172,0.1
2019,4,24,23:00,UTC,161,0.1
2019,4,24,23:30,UTC,105,0.1
2019,4,25,00:00,UTC,89,0.1
2019,4,25,00:30,UTC,82,0.1
2019,4,25,01:00,UTC,96,0.1
2019,4,25,01:30,UTC,99,0.1
2019,4,25,02:00,UTC,88,0.1
2019,4,25,02:30,UTC,100,0.1
2019,4,25,03:00,UTC,91,0.1
2019,4,25,03:30,UTC,91,0.2
2019,4,25,04:00,UTC,95,0.2
2019,4,25,04:30,UTC,85,0.2
2019,4,25,05:00,UTC,89,0.2
2019,4,25,05:30,UTC,98,0.2
2019,4,25,06:00,UTC,91,0.2
2019,4,25,06:30,UTC,93,0.2
2019,4,25,07:00,UTC,81,0.2
2019,4,25,07:30,UTC,85,0.2
2019,4,25,08:00,UTC,86,0.2
2019,4,25,08:30,UTC,91,0.2
2019,4,25,09:00,UTC,92,0.2
2019,4,25,09:30,UTC,92,0.2
2019,4,25,10:00,UTC,91,0.2
2019,4,25,10:30,UTC,106,0.2
2019,4,25,11:00,UTC,129,0.2
2019,4,25,11:30,UTC,89,0.2
2019,4,25,12:00,UTC,92,0.2
2019,4,25,12:30,UTC,89,0.2
2019,4,25,13:00,UTC,91,0.2
2019,4,25,13:30,UTC,98,0.2
2019,4,25,14:00,UTC,103,0.1
2019,4,25,14:30,UTC,50,0.2
2019,4,25,15:00,UTC,99,0.1
2019,4,25,15:30,UTC,188,0.1
2019,4,25,16:00,UTC,150,0.1
