Year,m,d,Time,Time zone,Direction of waves (deg),Wave height (m)
2019,1,6,09:30,UTC,230,0.5
2019,1,6,10:00,UTC,240,0.5
2019,1,6,10:30,UTC,237,0.6
2019,1,6,11:00,UTC,222,0.6
2019,1,6,11:30,UTC,236,0.7
2019,1,6,12:00,UTC,215,0.8
2019,1,6,12:30,UTC,236,0.8
2019,1,6,13:00,UTC,216,0.8
2019,1,6,13:30,UTC,203,0.7
2019,1,6,14:00,UTC,202,0.8
2019,1,6,14:30,UTC,216,0.7
2019,1,6,15:00,UTC,210,0.7
2019,1,6,15:30,UTC,209,0.7
2019,1,6,16:00,UTC,198,0.7
2019,1,6,16:30,UTC,210,0.6
2019,1,6,17:00,UTC,220,0.6
2019,1,6,17:30,UTC,233,0.6
2019,1,6,18:00,UTC,220,0.6
2019,1,6,18:30,UTC,213,0.6
2019,1,6,19:00,UTC,227,0.6
2019,1,6,19:30,UTC,233,0.6
2019,1,6,20:00,UTC,274,0.7
2019,1,6,20:30,UTC,262,0.7
2019,1,6,21:00,UTC,289,0.6
2019,1,6,21:30,UTC,253,0.6
2019,1,6,22:00,UTC,248,0.6
2019,1,6,22:30,UTC,268,0.7
2019,1,6,23:00,UTC,260,0.6
2019,1,6,23:30,UTC,261,0.7
2019,1,7,00:00,UTC,282,0.8
2019,1,7,00:30,UTC,299,1
2019,1,7,01:00,UTC,306,1
2019,1,7,01:30,UTC,300,1.1
2019,1,7,02:00,UTC,305,1.1
2019,1,7,02:30,UTC,298,1.2
2019,1,7,03:00,UTC,302,1.2
2019,1,7,03:30,UTC,312,1.3
2019,1,7,04:00,UTC,305,1.3
2019,1,7,04:30,UTC,313,1.3
2019,1,7,05:00,UTC,312,1.4
2019,1,7,05:30,UTC,315,1.3
2019,1,7,06:00,UTC,312,1.4
2019,1,7,06:30,UTC,317,1.5
2019,1,7,07:00,UTC,320,1.5
2019,1,7,07:30,UTC,338,1.4
2019,1,7,08:00,UTC,337,1.5
2019,1,7,08:30,UTC,344,1.5
2019,1,7,09:00,UTC,338,1.4
2019,1,7,09:30,UTC,334,1.4
2019,1,7,10:00,UTC,347,1.3
2019,1,7,10:30,UTC,327,1.3
2019,1,7,11:00,UTC,309,1.2
2019,1,7,11:30,UTC,319,1.2
2019,1,7,12:00,UTC,334,1.1
2019,1,7,12:30,UTC,313,1.1
2019,1,7,13:00,UTC,319,1
2019,1,7,13:30,UTC,316,1
2019,1,7,14:00,UTC,320,1
2019,1,7,14:30,UTC,305,0.9
2019,1,7,15:00,UTC,308,0.9
2019,1,7,15:30,UTC,299,0.9
2019,1,7,16:00,UTC,293,0.8
2019,1,7,16:30,UTC,305,0.8
2019,1,7,17:00,UTC,289,0.8
2019,1,7,17:30,UTC,299,0.7
2019,1,7,18:00,UTC,300,0.6
2019,1,7,18:30,UTC,292,0.7
2019,1,7,19:00,UTC,285,0.6
2019,1,7,19:30,UTC,286,0.6
2019,1,7,20:00,UTC,284,0.6
2019,1,7,20:30,UTC,288,0.6
2019,1,7,21:00,UTC,285,0.6
2019,1,7,21:30,UTC,286,0.6
2019,1,7,22:00,UTC,284,0.6
2019,1,7,22:30,UTC,286,0.6
2019,1,7,23:00,UTC,277,0.6
2019,1,7,23:30,UTC,208,0.6
2019,1,8,00:00,UTC,209,0.7
2019,1,8,00:30,UTC,219,0.7
2019,1,8,01:00,UTC,220,0.6
2019,1,8,01:30,UTC,225,0.6
2019,1,8,02:00,UTC,215,0.6
2019,1,8,02:30,UTC,199,0.6
2019,1,8,03:00,UTC,187,0.7
2019,1,8,03:30,UTC,191,0.7
2019,1,8,04:00,UTC,175,0.8
2019,1,8,04:30,UTC,167,0.7
2019,1,8,05:00,UTC,161,0.8
2019,1,8,05:30,UTC,161,0.8
2019,1,8,06:00,UTC,144,0.9
2019,1,8,06:30,UTC,139,0.9
2019,1,8,07:00,UTC,118,0.9
2019,1,8,07:30,UTC,123,1
2019,1,8,08:00,UTC,108,1.1
2019,1,8,08:30,UTC,104,1.1
2019,1,8,09:00,UTC,101,1.1
2019,1,8,09:30,UTC,105,1.1
2019,1,8,10:00,UTC,94,1.1
2019,1,8,10:30,UTC,91,1
2019,1,8,11:00,UTC,91,1.1
2019,1,8,11:30,UTC,84,1
2019,1,8,12:00,UTC,71,1
2019,1,8,12:30,UTC,80,1.1
2019,1,8,13:00,UTC,74,0.9
2019,1,8,13:30,UTC,77,0.8
2019,1,8,14:00,UTC,60,0.8
2019,1,8,14:30,UTC,63,0.8
2019,1,8,15:00,UTC,61,0.8
2019,1,8,15:30,UTC,57,0.8
2019,1,8,16:00,UTC,59,0.7
2019,1,8,16:30,UTC,46,0.8
2019,1,8,17:00,UTC,40,0.9
2019,1,8,17:30,UTC,18,1
2019,1,8,18:00,UTC,358,1
2019,1,8,18:30,UTC,355,1.1
2019,1,8,19:00,UTC,345,1.2
2019,1,8,19:30,UTC,347,1.2
2019,1,8,20:00,UTC,340,1.3
2019,1,8,20:30,UTC,343,1.3
2019,1,8,21:00,UTC,347,1.3
2019,1,8,21:30,UTC,345,1.2
2019,1,8,22:00,UTC,343,1.2
